序號,清單類型,分類 ID,分類名稱,分類英文名,療程名稱,Slug,副標,程式圖片引用,IMAGES 鍵名,圖片 URL,離線檔名,寬 px,高 px,圖片來源,顯示位置,核對備註,建議替換圖 URL,負責人確認
29,療程分類 SERVICE_CATEGORIES,surgery-lipo,整型外科｜抽脂與拉皮,Liposuction & Facelift,自體脂肪移植手術,,,https://www.drappletree.com.tw/wp-content/uploads/2021/01/補臉-1.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/01/補臉-1.jpg,補臉-1.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
30,療程分類 SERVICE_CATEGORIES,surgery-lipo,整型外科｜抽脂與拉皮,Liposuction & Facelift,無痕拉皮手術,,,https://www.drappletree.com.tw/wp-content/uploads/2021/01/無痕拉皮-1.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/01/無痕拉皮-1.jpg,無痕拉皮-1.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
31,療程分類 SERVICE_CATEGORIES,body,形體雕塑,Body Sculpting,Wegovy 週纖達,,GLP-1 受體促效劑,https://www.drappletree.com.tw/wp-content/uploads/2025/10/縮圖-拷貝-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/10/縮圖-拷貝-768x508.jpg,縮圖-拷貝-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
32,療程分類 SERVICE_CATEGORIES,body,形體雕塑,Body Sculpting,Mounjaro 猛健樂,,GIP/GLP-1 雙重受體促效劑,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-1-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-1-768x508.jpg,縮圖-拷貝-1-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
33,療程分類 SERVICE_CATEGORIES,body,形體雕塑,Body Sculpting,Talent-A 動磁波,,30分鐘高效鍛鍊,https://www.drappletree.com.tw/wp-content/uploads/2021/12/1-1-768x509.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/12/1-1-768x509.jpg,1-1-768x509.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
34,療程分類 SERVICE_CATEGORIES,body,形體雕塑,Body Sculpting,減肥筆,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/減肥筆.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/減肥筆.jpg,減肥筆.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
35,療程分類 SERVICE_CATEGORIES,body,形體雕塑,Body Sculpting,ICOONE,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/ICOONE.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/ICOONE.jpg,ICOONE.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
36,療程分類 SERVICE_CATEGORIES,body,形體雕塑,Body Sculpting,消脂針/消脂點滴,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/消脂針消脂點滴.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/消脂針消脂點滴.jpg,消脂針消脂點滴.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
37,療程分類 SERVICE_CATEGORIES,feminine,女性私密美學,Feminine Aesthetics,私密處雷射,,,,,,,,,無圖片,療程列表 ServicesSection,缺少圖片,,
38,療程分類 SERVICE_CATEGORIES,men,型男醫美專區,Men's Aesthetics,男性除毛,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/男性除毛.jpeg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/男性除毛.jpeg,男性除毛.jpeg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
39,療程分類 SERVICE_CATEGORIES,men,型男醫美專區,Men's Aesthetics,男性微整,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/男-微整-2-768x439.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/男-微整-2-768x439.jpg,男-微整-2-768x439.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
40,療程分類 SERVICE_CATEGORIES,men,型男醫美專區,Men's Aesthetics,男性痘疤,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/男痘疤-3-768x439.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/男痘疤-3-768x439.jpg,男痘疤-3-768x439.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
41,療程分類 SERVICE_CATEGORIES,men,型男醫美專區,Men's Aesthetics,男性生髮,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/生髮-3-768x439.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/生髮-3-768x439.jpg,生髮-3-768x439.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
42,療程分類 SERVICE_CATEGORIES,men,型男醫美專區,Men's Aesthetics,男性體雕,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/體雕-5-768x439.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/體雕-5-768x439.jpg,體雕-5-768x439.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
43,療程分類 SERVICE_CATEGORIES,regen,再生醫學,Regenerative Medicine,增生療法,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/增生1-768x512.png,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/增生1-768x512.png,增生1-768x512.png,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
44,療程分類 SERVICE_CATEGORIES,regen,再生醫學,Regenerative Medicine,IHT（PRP）注射療法,,自體血小板血漿,https://www.drappletree.com.tw/wp-content/uploads/2021/06/PRP-1.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/PRP-1.jpg,PRP-1.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
45,療程分類 SERVICE_CATEGORIES,hair,生髮門診,Hair Restoration,不動刀育髮,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/不動刀育髮.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/不動刀育髮.jpg,不動刀育髮.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
46,療程分類 SERVICE_CATEGORIES,hair,生髮門診,Hair Restoration,毛髮護理,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/毛髮護理.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/毛髮護理.jpg,毛髮護理.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
47,療程分類 SERVICE_CATEGORIES,hair,生髮門診,Hair Restoration,頭皮檢測,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/頭皮檢測.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/頭皮檢測.jpg,頭皮檢測.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
48,療程分類 SERVICE_CATEGORIES,nutrition,營養醫學,Nutritional Medicine,氦氖雷射 ILIB,,靜脈雷射,https://www.drappletree.com.tw/wp-content/uploads/2021/06/縮圖-拷貝-1-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/縮圖-拷貝-1-768x508.jpg,縮圖-拷貝-1-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
49,療程分類 SERVICE_CATEGORIES,nutrition,營養醫學,Nutritional Medicine,點滴針劑,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/點滴注射-768x549.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/點滴注射-768x549.jpg,點滴注射-768x549.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
50,療程分類 SERVICE_CATEGORIES,nutrition,營養醫學,Nutritional Medicine,營養配方,,,https://www.drappletree.com.tw/wp-content/uploads/2016/11/營養配方-768x549.jpeg,,https://www.drappletree.com.tw/wp-content/uploads/2016/11/營養配方-768x549.jpeg,營養配方-768x549.jpeg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
51,療程分類 SERVICE_CATEGORIES,functional,功能醫學檢測,Functional Medicine,基因檢測,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/基因檢測BNV2.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/基因檢測BNV2.jpg,基因檢測BNV2.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
52,療程分類 SERVICE_CATEGORIES,functional,功能醫學檢測,Functional Medicine,3DMRA 檢測,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/3DMRAV3.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/3DMRAV3.jpg,3DMRAV3.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL；同一 URL 重複使用 2 次,,
53,療程分類 SERVICE_CATEGORIES,functional,功能醫學檢測,Functional Medicine,腦波檢測,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/腦波檢測BNV2.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/腦波檢測BNV2.jpg,腦波檢測BNV2.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL；同一 URL 重複使用 2 次,,
54,療程分類 SERVICE_CATEGORIES,functional,功能醫學檢測,Functional Medicine,腸道菌叢分析,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/腸道菌BN.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/腸道菌BN.jpg,腸道菌BN.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
55,療程分類 SERVICE_CATEGORIES,functional,功能醫學檢測,Functional Medicine,HRV 自律神經分析,,,https://www.drappletree.com.tw/wp-content/uploads/2018/07/HRVBNV2.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2018/07/HRVBNV2.jpg,HRVBNV2.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL；同一 URL 重複使用 2 次,,
56,療程分類 SERVICE_CATEGORIES,functional,功能醫學檢測,Functional Medicine,PTG 血管分析,,,https://www.drappletree.com.tw/wp-content/uploads/2018/07/PTGBN2.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2018/07/PTGBN2.jpg,PTGBN2.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL；同一 URL 重複使用 2 次,,
57,療程分類 SERVICE_CATEGORIES,happy,快樂門診,Wellness Clinic,快樂門診,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/快樂門診.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/快樂門診.jpg,快樂門診.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
58,療程分類 SERVICE_CATEGORIES,happy,快樂門診,Wellness Clinic,音樂治療,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/音樂門診.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/音樂門診.jpg,音樂門診.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
59,療程分類 SERVICE_CATEGORIES,vaccine,自費疫苗,Vaccination,自費疫苗接種,,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/縮圖-拷貝-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2021/06/縮圖-拷貝-768x508.jpg,縮圖-拷貝-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
60,療程分類 SERVICE_CATEGORIES,skin,肌膚管理,Skin Care,Rejuran 麗珠蘭,,鮭魚針,https://www.drappletree.com.tw/wp-content/uploads/2025/12/縮圖-拷貝-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/12/縮圖-拷貝-768x508.jpg,縮圖-拷貝-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
61,療程分類 SERVICE_CATEGORIES,skin,肌膚管理,Skin Care,超級玻尿酸鎖水保濕面膜,,,https://www.drappletree.com.tw/wp-content/uploads/2020/06/縮圖-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2020/06/縮圖-768x508.jpg,縮圖-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
62,療程分類 SERVICE_CATEGORIES,skin,肌膚管理,Skin Care,膠原膜（膠原蛋白面膜）,,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-7-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-7-768x508.jpg,縮圖-拷貝-7-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
63,療程分類 SERVICE_CATEGORIES,skin,肌膚管理,Skin Care,安瓶導入,,醫美前導升級,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-5-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-5-768x508.jpg,縮圖-拷貝-5-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
64,療程分類 SERVICE_CATEGORIES,skin,肌膚管理,Skin Care,AI 光譜治療,,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-2-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-2-768x508.jpg,縮圖-2-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
65,療程分類 SERVICE_CATEGORIES,skin,肌膚管理,Skin Care,O2 to Derm 氧氣面罩,,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-2-768x508.jpg,,https://www.drappletree.com.tw/wp-content/uploads/2025/07/縮圖-拷貝-2-768x508.jpg,縮圖-拷貝-2-768x508.jpg,,,舊官網外連,療程列表 ServicesSection,依賴舊站 URL,,
66,療程分類 SERVICE_CATEGORIES,spa,醫SPA,Medical SPA,醫學美容SPA,,,,,,,,,無圖片,療程列表 ServicesSection,缺少圖片,,
